ID	Purpose	Description	Evaluate Green (Grn-)	Evaluate Red (Red)	Expected Intensity	 Control Type
27630314	Staining DNP Sig	DNP (High)	-	+	High	Sample-Independent
43603326	Staining DNP Bgnd	DNP (Bkg)	-	+	Background	Sample-Independent
41666334	Staining Biotin Sig	Biotin (High)	+	-	High	Sample-Independent
34648333	Staining Biotin Bgnd	Biotin (Bkg)	+	-	Background	Sample-Independent
28684356	Hybridization L	Hyb (High)	+	-	Low	Sample-Independent
26772442	Hybridization M	Hyb (Medium)	+	-	Medium	Sample-Independent
21771417	Hybridization H	Hyb (Low)	+	-	High	Sample-Independent
13643320	Target Removal	Target Removal 1	+	-	Background	Sample-Independent
42790394	Target Removal	Target Removal 2	+	-	Background	Sample-Independent
63642461	Extension A	Extension (A)	-	+	High	Sample-Independent
47640365	Extension T	Extension (T)	-	+	High	Sample-Independent
74666473	Extension C	Extension (C)	+	-	High	Sample-Independent
31698466	Extension G	Extension (G)	+	-	High	Sample-Independent
22711390	Bisulfite conversion I C green	BS Conversion I C1	+	-	High	Sample-Dependent
46651360	Bisulfite conversion I U green	BS Conversion I U1	+	-	Background	Sample-Dependent
22795447	Bisulfite conversion I C green	BS Conversion I C2	+	-	High	Sample-Dependent
24637490	Bisulfite conversion I U green	BS Conversion I U2	+	-	Background	Sample-Dependent
56682500	Bisulfite conversion I C green	BS Conversion I C3	+	-	High	Sample-Dependent
33665449	Bisulfite conversion I U green	BS Conversion I U3	+	-	Background	Sample-Dependent
54705438	Bisulfite conversion I C red	BS Conversion I C4	-	+	High	Sample-Dependent
57693375	Bisulfite conversion I U red	BS Conversion I U4	-	+	Background	Sample-Dependent
49720470	Bisulfite conversion I C red	BS Conversion I C5	-	+	High	Sample-Dependent
15700381	Bisulfite conversion I U red	BS Conversion I U5	-	+	Background	Sample-Dependent
26725400	Bisulfite conversion I C red	BS Conversion I C6	-	+	High	Sample-Dependent
33635504	Bisulfite conversion I U red	BS Conversion I U6	-	+	Background	Sample-Dependent
43720395	Bisulfite conversion II	BS Conversion II-1	-	+	High	Sample-Dependent
70664314	Bisulfite conversion II	BS Conversion II-2	-	+	High	Sample-Dependent
71718498	Bisulfite conversion II	BS Conversion II-3	-	+	High	Sample-Dependent
30724412	Bisulfite conversion II	BS Conversion II-4	-	+	High	Sample-Dependent
67672371	Specificity I MM green	GT Mismatch 1 (MM)	+	-	Background	Sample-Dependent
23777311	Specificity I PM green	GT Mismatch 1 (PM)	+	-	High	Sample-Dependent
30684480	Specificity I MM green	GT Mismatch 2 (MM)	+	-	Background	Sample-Dependent
51804467	Specificity I PM green	GT Mismatch 2 (PM)	+	-	High	Sample-Dependent
58661465	Specificity I MM green	GT Mismatch 3 (MM)	+	-	Background	Sample-Dependent
10673427	Specificity I PM green	GT Mismatch 3 (PM)	+	-	High	Sample-Dependent
51745378	Specificity I MM red	GT Mismatch 4 (MM)	-	+	Background	Sample-Dependent
46779338	Specificity I PM red	GT Mismatch 4 (PM)	-	+	High	Sample-Dependent
65797428	Specificity I MM red	GT Mismatch 5 (MM)	-	+	Background	Sample-Dependent
59783305	Specificity I PM red	GT Mismatch 5 (PM)	-	+	High	Sample-Dependent
12808347	Specificity I MM red	GT Mismatch 6 (MM)	-	+	Background	Sample-Dependent
